Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
99,3000	171,43
99,4000	144,96
99,5000	99,71
99,6000	145,26
99,7000	156,75
99,8000	101,09
99,9000	134,25
100,0000	166,03
100,1000	105,94
100,2000	123,59
100,3000	174,77
100,4000	113,72
100,5000	102,66
100,6000	170,72
100,7000	146,93
100,8000	99,21
100,9000	143,36
101,0000	158,28
101,1000	101,63
101,2000	132,16
101,3000	175,62
101,4000	107,06
101,5000	106,99
101,6000	174,43
101,7000	136,40
101,8000	101,98
101,9000	152,83
102,0000	148,92
102,1000	98,95
102,2000	141,67
102,3000	160,00
102,4000	102,39
102,5000	130,31
102,6000	175,47
102,7000	108,17
102,8000	105,91
102,9000	173,78
103,0000	138,81
103,1000	101,22
103,2000	151,21
103,3000	150,51
103,4000	99,28
103,5000	139,93
103,6000	174,13
103,7000	103,08
103,8000	111,58
103,9000	175,69
104,0000	109,31
104,1000	105,21
104,2000	173,31
104,3000	140,23
104,4000	100,86
104,5000	149,59
104,6000	152,46
104,7000	99,80
104,8000	138,44
104,9000	174,59
105,0000	103,81
105,1000	110,57
0,0000	99,86
0,1000	117,98
0,2000	174,79
0,3000	119,77
0,4000	109,91
0,5000	166,50
0,6000	131,08
0,7000	98,33
0,8000	157,67
0,9000	164,11
1,0000	98,22
1,1000	126,07
1,2000	171,10
1,3000	111,64
1,4000	116,58
1,5000	171,98
1,6000	121,27
1,7000	100,09
1,8000	165,58
1,9000	132,77
2,0000	98,22
2,1000	156,38
2,2000	165,12
2,3000	98,42
2,4000	124,43
2,5000	171,92
2,6000	112,86
2,7000	115,37
2,8000	171,27
2,9000	122,81
3,0000	99,70
3,1000	164,59
3,2000	156,93
3,3000	98,12
3,4000	133,94
3,5000	166,27
3,6000	106,21
3,7000	123,56
3,8000	174,92
3,9000	113,84
4,0000	114,81
4,1000	170,95
4,2000	123,95
4,3000	99,47
4,4000	163,77
4,5000	158,07
4,6000	98,06
4,7000	132,71
4,8000	167,04
4,9000	106,94
5,0000	122,46
5,1000	174,45
5,2000	114,80
5,3000	102,16
5,4000	170,11
5,5000	148,17
5,6000	99,21
5,7000	142,41
5,8000	159,13
5,9000	102,14
6,0000	131,55
6,1000	167,94
6,2000	107,71
6,3000	121,15
6,4000	174,07
6,5000	116,34
6,6000	101,72
6,7000	169,34
6,8000	149,83
6,9000	98,87
7,0000	140,89
7,1000	160,60
7,2000	102,79
7,3000	129,61
7,4000	175,73
7,5000	108,98
7,6000	105,71
7,7000	173,64
7,8000	139,70
7,9000	101,16
8,0000	150,60
8,1000	151,15
8,2000	98,56
8,3000	139,44
8,4000	161,74
8,5000	103,39
8,6000	128,26
8,7000	175,53
8,8000	109,75
8,9000	105,07
9,0000	173,15
9,1000	140,90
9,2000	100,79
9,3000	149,03
9,4000	153,06
9,5000	99,99
9,6000	137,90
9,7000	174,65
9,8000	104,17
9,9000	110,12
10,0000	175,32
10,1000	110,96
10,2000	104,42
10,3000	172,76
10,4000	142,54
10,5000	100,41
10,6000	147,72
10,7000	154,07
10,8000	100,28
10,9000	136,61
11,0000	174,93
11,1000	104,75
11,2000	109,54
11,3000	175,35
11,4000	131,58
11,5000	103,85
11,6000	157,25
11,7000	143,59
11,8000	98,42
11,9000	146,94
12,0000	171,35
12,1000	100,58
12,2000	116,47
12,3000	175,14
12,4000	105,26
12,5000	109,00
12,6000	175,27
12,7000	132,49
12,8000	103,49
12,9000	156,57
13,0000	144,53
13,1000	98,38
13,2000	145,71
13,3000	171,68
13,4000	100,77
13,5000	115,75
13,6000	175,13
13,7000	122,12
13,8000	108,48
13,9000	164,72
14,0000	133,72
14,1000	98,07
14,2000	155,45
14,3000	145,95
14,4000	98,68
14,5000	144,66
14,6000	172,35
14,7000	101,36
14,8000	114,96
14,9000	175,55
15,0000	123,83
15,1000	107,62
15,2000	163,79
15,3000	135,15
15,4000	98,08
15,5000	154,05
15,6000	166,91
15,7000	98,78
15,8000	122,58
15,9000	172,84
16,0000	114,68
16,1000	113,91
16,2000	170,21
16,3000	124,94
16,4000	106,89
16,5000	162,57
16,6000	136,55
16,7000	98,10
16,8000	153,07
16,9000	167,56
17,0000	98,96
17,1000	121,38
17,2000	173,40
17,3000	115,79
17,4000	113,20
17,5000	169,70
17,6000	125,85
17,7000	98,95
17,8000	161,83
17,9000	159,87
18,0000	98,00
18,1000	130,43
18,2000	168,42
18,3000	108,34
18,4000	120,45
18,5000	173,80
18,6000	116,84
18,7000	112,06
18,8000	168,69
18,9000	127,58
19,0000	98,68
19,1000	160,27
19,2000	161,39
19,3000	98,06
19,4000	128,74
19,5000	169,59
19,6000	109,72
19,7000	118,98
19,8000	173,30
19,9000	118,52
20,0000	100,77
20,1000	167,58
20,2000	152,61
20,3000	98,44
20,4000	138,09
20,5000	162,54
20,6000	98,12
20,7000	127,17
20,8000	170,38
20,9000	110,66
21,0000	117,74
21,1000	172,58
21,2000	119,85
21,3000	100,42
21,4000	166,67
21,5000	153,92
21,6000	98,43
21,7000	136,87
21,8000	163,81
21,9000	104,60
22,0000	125,95
22,1000	175,23
22,2000	111,59
22,3000	103,91
22,4000	172,03
22,5000	143,72
22,6000	99,93
22,7000	165,51
22,8000	155,09
22,9000	98,15
23,0000	135,34
23,1000	164,77
23,2000	105,33
23,3000	124,69
23,4000	174,89
23,5000	112,76
23,6000	103,28
23,7000	171,50
23,8000	145,07
23,9000	99,75
24,0000	145,14
24,1000	156,62
24,2000	101,12
24,3000	134,08
24,4000	175,26
24,5000	106,03
24,6000	108,09
24,7000	174,91
24,8000	113,58
24,9000	102,75
25,0000	170,75
25,1000	146,61
25,2000	99,33
25,3000	143,88
25,4000	157,74
25,5000	101,57
25,6000	132,56
25,7000	175,35
25,8000	106,88
25,9000	107,27
26,0000	174,46
26,1000	135,98
26,2000	102,18
26,3000	153,23
26,4000	148,24
26,5000	98,96
26,6000	142,09
26,7000	173,17
26,8000	102,18
26,9000	131,03
27,0000	175,44
27,1000	107,83
27,2000	106,31
27,3000	173,82
27,4000	137,58
27,5000	101,62
27,6000	152,17
27,7000	149,55
27,8000	99,06
27,9000	140,70
28,0000	173,56
28,1000	102,66
28,2000	112,12
28,3000	175,28
28,4000	126,70
28,5000	105,91
28,6000	161,01
28,7000	138,76
28,8000	98,02
28,9000	150,93
29,0000	150,59
29,1000	99,36
29,2000	139,96
29,3000	173,88
29,4000	103,08
29,5000	111,62
29,6000	175,50
29,7000	127,85
29,8000	105,51
29,9000	160,33
30,0000	139,76
30,1000	98,12
30,2000	150,07
30,3000	169,37
30,4000	99,52
30,5000	119,13
30,6000	174,01
30,7000	117,98
30,8000	111,20
30,9000	167,88
31,0000	128,72
31,1000	104,99
31,2000	159,50
31,3000	140,54
31,4000	98,14
31,5000	149,40
31,6000	169,72
31,7000	99,81
31,8000	118,41
31,9000	174,39
32,0000	118,99
32,1000	110,45
32,2000	167,08
32,3000	129,94
32,4000	98,44
32,5000	158,64
32,6000	163,05
32,7000	98,09
32,8000	126,96
32,9000	170,38
33,0000	100,10
33,1000	117,58
33,2000	174,68
33,3000	120,10
33,4000	109,78
33,5000	166,35
33,6000	131,25
33,7000	98,24
33,8000	157,28
33,9000	164,15
34,0000	98,23
34,1000	125,60
34,2000	171,15
34,3000	111,83
34,4000	116,46
34,5000	171,91
34,6000	121,70
34,7000	99,80
34,8000	165,05
34,9000	155,71
35,0000	98,07
35,1000	134,76
35,2000	165,08
35,3000	98,38
35,4000	124,14
35,5000	171,98
35,6000	113,22
35,7000	115,17
35,8000	170,97
35,9000	123,21
36,0000	99,51
36,1000	163,92
36,2000	157,56
36,3000	98,02
36,4000	132,80
36,5000	166,74
36,6000	106,90
36,7000	122,43
36,8000	174,45
36,9000	114,81
37,0000	102,17
37,1000	169,92
37,2000	125,09
37,3000	99,12
37,4000	162,50
37,5000	158,90
37,6000	98,07
37,7000	131,59
37,8000	167,69
37,9000	107,68
38,0000	121,27
38,1000	174,05
38,2000	115,95
38,3000	101,72
38,4000	169,24
38,5000	149,21
38,6000	98,89
38,7000	140,97
38,8000	160,19
38,9000	102,62
39,0000	130,30
39,1000	175,42
39,2000	108,37
39,3000	120,22
39,4000	173,66
39,5000	116,97
39,6000	101,30
39,7000	168,53
39,8000	150,58
39,9000	98,63
40,0000	139,90
40,1000	160,83
40,2000	102,96
40,3000	129,07
40,4000	175,28
40,5000	109,05
40,6000	105,43
40,7000	173,29
40,8000	139,62
40,9000	100,91
41,0000	150,05
41,1000	151,49
41,2000	99,55
41,3000	138,76
41,4000	161,68
41,5000	103,48
41,6000	127,88
41,7000	175,27
41,8000	109,94
41,9000	104,82
42,0000	172,80
42,1000	141,18
42,2000	100,51
42,3000	148,64
42,4000	152,95
42,5000	99,91
42,6000	137,43
42,7000	174,33
42,8000	104,17
42,9000	110,05
43,0000	175,21
43,1000	130,67
43,2000	104,08
43,3000	157,63
43,4000	142,94
43,5000	100,02
43,6000	146,95
43,7000	154,76
43,8000	100,46
43,9000	135,84
44,0000	174,78
44,1000	105,09
44,2000	108,94
44,3000	174,97
44,4000	132,83
44,5000	103,26
44,6000	156,04
44,7000	144,69
44,8000	98,47
44,9000	145,31
45,0000	171,74
45,1000	101,03
45,2000	115,08
45,3000	175,07
45,4000	123,11
45,5000	107,88
45,6000	174,52
45,7000	134,81
45,8000	102,61
45,9000	154,52
46,0000	146,87
46,1000	98,72
46,2000	143,33
46,3000	172,45
46,4000	101,66
46,5000	114,05
