Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
117,5000	166,38
117,6000	146,14
117,7000	98,46
117,8000	160,19
117,9000	177,66
118,0000	98,89
118,1000	129,43
118,2000	182,40
118,3000	111,11
118,4000	123,99
118,5000	188,45
118,6000	115,44
118,7000	104,49
118,8000	185,70
118,9000	120,95
119,0000	102,15
119,1000	182,03
119,2000	152,94
119,3000	100,39
119,4000	153,94
119,5000	159,56
119,6000	99,93
119,7000	147,49
119,8000	185,83
119,9000	101,71
120,0000	119,12
120,1000	188,42
120,2000	120,69
120,3000	114,51
120,4000	182,07
120,5000	126,54
120,6000	100,43
120,7000	177,69
120,8000	159,51
120,9000	99,24
121,0000	172,23
121,1000	166,23
121,2000	98,59
121,3000	141,10
121,4000	172,53
121,5000	104,20
121,6000	134,94
121,7000	189,67
121,8000	107,44
121,9000	110,49
122,0000	189,59
122,1000	133,03
122,2000	107,07
122,3000	171,83
122,4000	139,81
122,5000	98,55
122,6000	165,66
122,7000	173,28
122,8000	98,47
122,9000	134,28
123,0000	178,60
123,1000	99,04
123,2000	128,53
123,3000	182,97
123,4000	111,62
123,5000	123,10
123,6000	188,04
123,7000	116,55
123,8000	104,00
123,9000	185,19
124,0000	147,31
124,1000	101,76
124,2000	158,96
124,3000	154,42
124,4000	99,09
124,5000	152,67
124,6000	183,29
124,7000	100,31
124,8000	122,79
124,9000	186,60
125,0000	116,82
125,1000	117,79
125,2000	188,90
125,3000	122,32
125,4000	113,35
125,5000	181,03
125,6000	128,00
125,7000	100,04
125,8000	176,31
125,9000	161,40
126,0000	99,00
126,1000	145,85
126,2000	168,09
126,3000	102,39
126,4000	139,50
126,5000	188,98
126,6000	104,94
126,7000	113,33
126,8000	189,84
126,9000	128,23
127,0000	109,62
127,1000	176,27
127,2000	134,45
127,3000	106,44
127,4000	170,67
127,5000	141,22
127,6000	98,50
127,7000	164,63
127,8000	174,22
127,9000	98,52
128,0000	133,49
128,1000	179,34
128,2000	108,16
128,3000	127,85
128,4000	189,62
128,5000	112,24
128,6000	106,53
128,7000	187,88
128,8000	141,00
128,9000	103,80
129,0000	164,78
129,1000	148,05
129,2000	98,51
129,3000	158,43
129,4000	155,16
129,5000	99,18
129,6000	152,21
129,7000	183,62
129,8000	100,40
129,9000	122,43
130,0000	187,06
130,1000	117,36
130,2000	117,57
130,3000	184,91
130,4000	122,65
130,5000	101,65
130,6000	181,00
130,7000	155,11
130,8000	100,05
130,9000	151,98
131,0000	162,10
131,1000	100,48
131,2000	145,58
131,3000	186,97
131,4000	102,46
131,5000	139,01
131,6000	189,21
131,7000	105,29
131,8000	113,12
131,9000	190,03
132,0000	128,78
132,1000	109,39
132,2000	175,89
132,3000	135,13
132,4000	98,94
132,5000	170,29
132,6000	168,79
132,7000	98,46
132,8000	138,98
132,9000	174,67
133,0000	105,17
133,1000	132,82
133,2000	190,11
133,3000	108,85
133,4000	109,29
133,5000	189,63
133,6000	112,96
133,7000	106,09
133,8000	187,68
133,9000	142,36
134,0000	103,36
134,1000	163,66
134,2000	149,46
134,3000	98,60
134,4000	157,59
134,5000	180,23
134,6000	99,34
134,7000	126,73
134,8000	184,57
134,9000	113,24
135,0000	121,53
135,1000	187,59
135,2000	118,26
135,3000	103,30
135,4000	184,43
135,5000	123,78
135,6000	101,28
135,7000	180,09
135,8000	156,76
135,9000	99,73
136,0000	150,92
136,1000	163,32
136,2000	100,79
136,3000	144,42
136,4000	187,74
136,5000	102,99
136,6000	116,59
136,7000	189,59
136,8000	124,07
136,9000	112,27
137,0000	179,93
137,1000	130,18
137,2000	99,69
137,3000	174,88
137,4000	163,75
137,5000	98,86
137,6000	169,29
137,7000	170,04
137,8000	98,49
137,9000	137,73
138,0000	175,81
138,1000	105,82
138,2000	131,87
138,3000	190,25
138,4000	109,40
138,5000	108,78
138,6000	189,50
138,7000	136,68
138,8000	105,67
138,9000	169,23
139,0000	143,41
139,1000	98,46
139,2000	163,03
139,3000	176,08
139,4000	98,67
139,5000	131,50
139,6000	181,13
139,7000	99,55
139,8000	126,08
139,9000	185,18
140,0000	113,89
140,1000	120,97
140,2000	187,20
140,3000	119,01
140,4000	102,98
140,5000	183,81
140,6000	150,92
140,7000	100,97
140,8000	156,45
140,9000	157,80
141,0000	99,60
141,1000	149,81
141,2000	185,25
141,3000	101,14
141,4000	120,54
141,5000	188,23
141,6000	119,32
141,7000	115,91
141,8000	189,80
141,9000	124,97
142,0000	111,65
142,1000	179,11
142,2000	131,45
142,3000	99,49
142,4000	173,82
142,5000	165,27
142,6000	98,69
142,7000	142,61
142,8000	171,62
142,9000	103,68
143,0000	136,25
143,1000	190,10
143,2000	106,79
143,3000	111,36
143,4000	190,28
143,5000	131,83
143,6000	107,84
143,7000	173,43
143,8000	138,48
143,9000	104,87
144,0000	167,52
144,1000	145,40
144,2000	98,46
144,3000	161,26
144,4000	177,77
144,5000	98,91
144,6000	129,99
144,7000	182,41
144,8000	110,71
144,9000	124,64
145,0000	189,17
145,1000	115,23
145,2000	104,79
145,3000	186,48
145,4000	145,81
145,5000	102,41
145,6000	161,03
145,7000	152,78
145,8000	98,92
145,9000	154,72
146,0000	159,59
146,1000	99,89
146,2000	148,11
146,3000	186,38
146,4000	101,71
146,5000	119,42
146,6000	188,89
146,7000	120,58
146,8000	114,87
146,9000	182,85
147,0000	126,36
147,1000	100,63
147,2000	178,53
147,3000	159,55
147,4000	99,37
147,5000	148,55
147,6000	165,87
147,7000	101,46
147,8000	142,10
147,9000	188,71
148,0000	103,97
148,1000	135,76
148,2000	190,13
148,3000	106,91
148,4000	111,12
148,5000	190,41
148,6000	132,29
148,7000	107,77
148,8000	173,39
148,9000	138,80
149,0000	98,66
149,1000	167,49
149,2000	172,25
149,3000	98,51
149,4000	135,81
149,5000	177,99
149,6000	107,03
149,7000	129,98
149,8000	190,36
149,9000	110,77
150,0000	107,75
150,1000	189,20
150,2000	115,35
150,3000	104,81
150,4000	186,56
150,5000	145,86
150,6000	102,34
150,7000	161,17
150,8000	152,89
150,9000	98,91
151,0000	154,71
151,1000	182,62
151,2000	99,96
151,3000	124,45
151,4000	186,37
151,5000	115,51
151,6000	119,34
151,7000	186,55
151,8000	120,74
151,9000	102,34
152,0000	183,03
152,1000	153,05
152,2000	100,54
152,3000	178,60
152,4000	159,81
152,5000	99,29
152,6000	148,18
152,7000	166,57
152,8000	101,70
152,9000	141,56
153,0000	189,13
153,1000	104,11
153,2000	114,81
153,3000	190,38
153,4000	126,55
