Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
31,1500	1,308
31,2000	0,336
31,2500	-0,368
31,3000	-0,130
31,3500	0,771
31,4000	1,486
31,4500	1,528
31,5000	0,770
31,5500	-0,179
31,6000	-0,346
31,6500	0,379
31,7000	1,264
31,7500	1,604
31,8000	1,166
31,8500	0,156
31,9000	-0,397
31,9500	0,013
32,0000	0,947
32,0500	1,550
32,1000	1,445
32,1500	0,572
32,2000	-0,287
32,2500	-0,265
32,3000	0,564
32,3500	1,382
32,4000	1,587
32,4500	0,993
32,5000	-0,016
32,5500	-0,396
32,6000	0,174
32,6500	1,107
32,7000	1,591
32,7500	1,330
32,8000	0,371
32,8500	-0,360
32,9000	-0,152
32,9500	0,741
33,0000	1,473
33,0500	1,539
33,1000	0,803
33,1500	-0,157
33,2000	-0,357
33,2500	0,349
33,3000	1,244
33,3500	1,604
33,4000	1,188
33,4500	0,181
33,5000	-0,396
33,5500	-0,009
33,6000	0,922
33,6500	1,543
33,7000	1,459
33,7500	0,602
33,8000	-0,273
33,8500	-0,280
33,9000	0,537
33,9500	1,367
34,0000	1,590
34,0500	1,018
34,1000	0,006
34,1500	-0,399
34,2000	0,151
34,2500	1,084
34,3000	1,587
34,3500	1,351
34,4000	0,402
34,4500	-0,350
34,5000	-0,173
34,5500	0,713
34,6000	1,459
34,6500	1,549
34,7000	0,834
34,7500	-0,137
34,8000	-0,364
34,8500	0,319
34,9000	1,222
34,9500	1,604
35,0000	1,216
35,0500	0,215
35,1000	-0,393
35,1500	-0,039
35,2000	0,889
35,2500	1,530
35,3000	1,477
35,3500	0,642
35,4000	-0,253
35,4500	-0,297
35,5000	0,500
35,5500	1,343
35,6000	1,596
35,6500	1,056
35,7000	0,041
35,7500	-0,401
35,8000	0,113
35,8500	1,051
35,9000	1,580
35,9500	1,376
36,0000	0,443
36,0500	-0,338
36,1000	-0,196
36,1500	0,675
36,2000	1,442
36,2500	1,560
36,3000	0,872
36,3500	-0,110
36,4000	-0,374
36,4500	0,284
36,5000	1,195
36,5500	1,602
36,6000	1,246
36,6500	0,251
36,7000	-0,386
36,7500	-0,068
36,8000	0,855
36,8500	1,517
36,9000	1,495
36,9500	0,682
37,0000	-0,232
37,0500	-0,313
37,1000	0,467
37,1500	1,321
37,2000	1,601
37,2500	1,089
37,3000	0,072
37,3500	-0,401
37,4000	0,083
37,4500	1,023
37,5000	1,572
