Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
13,1000	4,0
13,2000	4,0
13,3000	4,0
13,4000	4,0
13,5000	3,9
13,6000	3,9
13,7000	3,9
13,8000	3,9
13,9000	3,9
14,0000	3,9
14,1000	3,9
14,2000	3,9
14,3000	3,8
14,4000	3,8
14,5000	3,8
14,6000	3,8
14,7000	3,8
14,8000	3,8
14,9000	3,8
15,0000	3,8
15,1000	3,7
15,2000	3,7
15,3000	3,7
15,4000	3,7
15,5000	3,7
15,6000	3,7
15,7000	3,7
15,8000	3,7
15,9000	3,6
16,0000	3,6
16,1000	3,6
16,2000	3,6
16,3000	3,6
16,4000	3,6
16,5000	3,6
16,6000	3,6
16,7000	3,5
16,8000	3,5
16,9000	3,5
17,0000	3,5
17,1000	3,5
17,2000	3,5
17,3000	3,5
17,4000	3,5
17,5000	3,4
17,6000	3,4
17,7000	3,4
17,8000	3,4
17,9000	3,4
18,0000	3,4
18,1000	3,4
18,2000	3,4
18,3000	3,3
18,4000	3,3
18,5000	3,3
18,6000	3,3
18,7000	3,3
18,8000	3,3
18,9000	3,3
19,0000	3,2
19,1000	3,2
19,2000	3,2
19,3000	3,2
19,4000	3,2
19,5000	3,2
19,6000	3,2
19,7000	3,2
19,8000	3,1
19,9000	3,1
20,0000	3,1
20,1000	3,1
20,2000	3,1
20,3000	3,1
20,4000	3,1
20,5000	3,0
20,6000	3,0
20,7000	3,0
20,8000	3,0
20,9000	3,0
21,0000	3,0
21,1000	3,0
21,2000	2,9
21,3000	2,9
21,4000	2,9
21,5000	2,9
21,6000	2,9
21,7000	2,9
21,8000	2,9
21,9000	2,9
22,0000	2,8
22,1000	2,8
22,2000	2,8
22,3000	2,8
22,4000	2,8
22,5000	2,8
22,6000	2,8
22,7000	2,7
22,8000	2,7
22,9000	2,7
23,0000	2,7
23,1000	2,7
23,2000	2,7
23,3000	2,7
23,4000	2,6
23,5000	2,6
23,6000	2,6
23,7000	2,6
23,8000	2,6
23,9000	2,6
24,0000	2,6
24,1000	2,6
24,2000	2,5
24,3000	2,5
24,4000	2,5
24,5000	2,5
24,6000	2,5
24,7000	2,5
24,8000	2,5
24,9000	2,4
25,0000	2,4
25,1000	2,4
25,2000	2,4
25,3000	2,4
25,4000	2,4
25,5000	2,4
25,6000	2,4
25,7000	2,3
25,8000	2,3
25,9000	2,3
26,0000	2,3
26,1000	2,3
26,2000	2,3
26,3000	2,3
26,4000	2,2
26,5000	2,2
26,6000	2,2
26,7000	2,2
26,8000	2,2
26,9000	2,2
27,0000	2,2
27,1000	2,2
27,2000	2,1
27,3000	2,1
27,4000	2,1
27,5000	2,1
27,6000	2,1
27,7000	2,1
27,8000	2,1
27,9000	2,0
28,0000	2,0
28,1000	2,0
